model_size,method,seed,step,train_format,train_correctness,val_format,val_correctness,pi_correctness,w_correctness,active_groups_correctness,pi_format,w_format,active_groups_format
1.5B,rdgdpo_positive,1,56,0.942871094,1.850886226,,,0.199218750,1.000000000,102.000000000,0.031250000,2.524876235,16.000000000
1.5B,rdgdpo_positive,1,57,0.929687500,1.714581966,,,0.173828125,1.000000000,89.000000000,0.029296875,2.435843454,15.000000000
1.5B,rdgdpo_positive,1,58,0.943847656,1.859544277,,,0.189453125,1.000000000,97.000000000,0.029296875,2.542964150,15.000000000
1.5B,rdgdpo_positive,1,59,0.934082031,1.869289160,,,0.150390625,1.000000000,77.000000000,0.019531250,2.774887385,10.000000000
1.5B,rdgdpo_positive,1,60,0.936035156,1.827018976,0.975000000,1.775895459,0.199218750,1.000000000,102.000000000,0.021484375,3.045115314,11.000000000
1.5B,rdgdpo_positive,1,61,0.947753906,1.825813651,,,0.187500000,1.000000000,96.000000000,0.031250000,2.449489743,16.000000000
1.5B,rdgdpo_positive,1,62,0.924316406,1.814320922,,,0.167968750,1.000000000,86.000000000,0.029296875,2.394437999,15.000000000
1.5B,rdgdpo_positive,1,63,0.926269531,1.652726650,,,0.171875000,1.000000000,88.000000000,0.027343750,2.507132682,14.000000000
1.5B,rdgdpo_positive,1,64,0.917480469,1.780677915,,,0.156250000,1.000000000,80.000000000,0.023437500,2.581988897,12.000000000
1.5B,rdgdpo_positive,1,65,0.939453125,1.694954872,,,0.191406250,1.000000000,98.000000000,0.029296875,2.556038602,15.000000000
1.5B,rdgdpo_positive,1,66,0.935546875,1.897393703,,,0.150390625,1.000000000,77.000000000,0.019531250,2.774887385,10.000000000
1.5B,rdgdpo_positive,1,67,0.958984375,1.890146255,,,0.164062500,1.000000000,84.000000000,0.021484375,2.763397119,11.000000000
1.5B,rdgdpo_positive,1,68,0.948730469,1.911957741,,,0.128906250,1.000000000,66.000000000,0.007812500,4.062019202,4.000000000
1.5B,rdgdpo_positive,1,69,0.935058594,1.722119689,,,0.173828125,1.000000000,89.000000000,0.027343750,2.521337514,14.000000000
1.5B,rdgdpo_positive,1,70,0.931640625,1.869157553,0.975000000,1.767562126,0.150390625,1.000000000,77.000000000,0.021484375,2.645751311,11.000000000
1.5B,rdgdpo_positive,1,71,0.925781250,1.878272057,,,0.164062500,1.000000000,84.000000000,0.017578125,3.055050463,9.000000000
1.5B,rdgdpo_positive,1,72,0.948730469,1.964574456,,,0.113281250,1.000000000,58.000000000,0.025390625,2.112235418,13.000000000
1.5B,rdgdpo_positive,1,73,0.933105469,1.857145309,,,0.140625000,1.000000000,72.000000000,0.015625000,3.000000000,8.000000000
1.5B,rdgdpo_positive,1,74,0.942382812,1.833670378,,,0.138671875,1.000000000,71.000000000,0.019531250,2.664582519,10.000000000
1.5B,rdgdpo_positive,1,75,0.944335938,1.773288608,,,0.125000000,1.000000000,64.000000000,0.021484375,2.412090757,11.000000000
1.5B,rdgdpo_positive,1,76,0.944824219,1.837754965,,,0.138671875,1.000000000,71.000000000,0.017578125,2.808716591,9.000000000
1.5B,rdgdpo_positive,1,77,0.939453125,1.907202601,,,0.121093750,1.000000000,62.000000000,0.013671875,2.976095237,7.000000000
1.5B,rdgdpo_positive,1,78,0.952148438,1.935068011,,,0.138671875,1.000000000,71.000000000,0.021484375,2.540579748,11.000000000
1.5B,rdgdpo_positive,1,79,0.937011719,1.870499134,,,0.126953125,1.000000000,65.000000000,0.017578125,2.687419249,9.000000000
1.5B,rdgdpo_positive,1,80,0.936523438,1.766484380,0.975000000,1.726222841,0.130859375,1.000000000,67.000000000,0.023437500,2.362907813,12.000000000
